site_dep_param,total tiers,current tier,size,leaves,independent_sites
"ZIP(0.5, 6.0)",4,3,356,10,50
"ZIP(0.5, 6.0)",4,4,1266,10,50
"ZIP(0.7, 10.0)",2,1,50,10,50
"ZIP(0.7, 10.0)",2,2,139,10,50
"ZIP(0.7, 10.0)",3,1,50,10,50
"ZIP(0.7, 10.0)",3,2,112,10,50
"ZIP(0.7, 10.0)",3,3,321,10,50
"ZIP(0.7, 10.0)",4,1,50,10,50
"ZIP(0.7, 10.0)",4,2,174,10,50
"ZIP(0.7, 10.0)",4,3,634,10,50
"ZIP(0.7, 10.0)",4,4,2048,10,50
"ZIP(0.9, 30.0)",2,1,50,10,50
"ZIP(0.9, 30.0)",2,2,116,10,50
"ZIP(0.9, 30.0)",3,1,50,10,50
"ZIP(0.9, 30.0)",3,2,227,10,50
"ZIP(0.9, 30.0)",3,3,728,10,50
"ZIP(0.9, 30.0)",4,1,50,10,50
"ZIP(0.9, 30.0)",4,2,150,10,50
"ZIP(0.9, 30.0)",4,3,522,10,50
"ZIP(0.9, 30.0)",4,4,1617,10,50
"ZIP(0.2, 3.75)",2,1,100,10,100
"ZIP(0.2, 3.75)",2,2,309,10,100
"ZIP(0.2, 3.75)",3,1,100,10,100
"ZIP(0.2, 3.75)",3,2,293,10,100
"ZIP(0.2, 3.75)",3,3,878,10,100
"ZIP(0.2, 3.75)",4,1,100,10,100
"ZIP(0.2, 3.75)",4,2,272,10,100
"ZIP(0.2, 3.75)",4,3,873,10,100
"ZIP(0.2, 3.75)",4,4,2580,10,100
"ZIP(0.5, 6.0)",2,1,100,10,100
"ZIP(0.5, 6.0)",2,2,331,10,100
"ZIP(0.5, 6.0)",3,1,100,10,100
"ZIP(0.5, 6.0)",3,2,277,10,100
"ZIP(0.5, 6.0)",3,3,781,10,100
"ZIP(0.5, 6.0)",4,1,100,10,100
"ZIP(0.5, 6.0)",4,2,303,10,100
"ZIP(0.5, 6.0)",4,3,951,10,100
"ZIP(0.5, 6.0)",4,4,2841,10,100
"ZIP(0.7, 10.0)",2,1,100,10,100
"ZIP(0.7, 10.0)",2,2,257,10,100
"ZIP(0.7, 10.0)",3,1,100,10,100
"ZIP(0.7, 10.0)",3,2,403,10,100
"ZIP(0.7, 10.0)",3,3,1432,10,100
"ZIP(0.7, 10.0)",4,1,100,10,100
"ZIP(0.7, 10.0)",4,2,310,10,100
"ZIP(0.7, 10.0)",4,3,907,10,100
"ZIP(0.7, 10.0)",4,4,2805,10,100
"ZIP(0.9, 30.0)",2,1,100,10,100
"ZIP(0.9, 30.0)",2,2,327,10,100
"ZIP(0.9, 30.0)",3,1,100,10,100
"ZIP(0.9, 30.0)",3,2,367,10,100
"ZIP(0.9, 30.0)",3,3,1172,10,100
"ZIP(0.9, 30.0)",4,1,100,10,100
"ZIP(0.9, 30.0)",4,2,276,10,100
"ZIP(0.9, 30.0)",4,3,890,10,100
"ZIP(0.9, 30.0)",4,4,2694,10,100
"ZIP(0.2, 3.75)",2,1,200,10,200
"ZIP(0.2, 3.75)",2,2,604,10,200
"ZIP(0.2, 3.75)",3,1,200,10,200
"ZIP(0.2, 3.75)",3,2,595,10,200
"ZIP(0.2, 3.75)",3,3,1749,10,200
"ZIP(0.2, 3.75)",4,1,200,10,200
"ZIP(0.2, 3.75)",4,2,641,10,200
"ZIP(0.2, 3.75)",4,3,1902,10,200
"ZIP(0.2, 3.75)",4,4,5730,10,200
"ZIP(0.5, 6.0)",2,1,200,10,200
"ZIP(0.5, 6.0)",2,2,600,10,200
"ZIP(0.5, 6.0)",3,1,200,10,200
"ZIP(0.5, 6.0)",3,2,710,10,200
"ZIP(0.5, 6.0)",3,3,2002,10,200
"ZIP(0.5, 6.0)",4,1,200,10,200
"ZIP(0.5, 6.0)",4,2,593,10,200
"ZIP(0.5, 6.0)",4,3,1731,10,200
"ZIP(0.5, 6.0)",4,4,5137,10,200
"ZIP(0.7, 10.0)",2,1,200,10,200
"ZIP(0.7, 10.0)",2,2,536,10,200
"ZIP(0.7, 10.0)",3,1,200,10,200
"ZIP(0.7, 10.0)",3,2,692,10,200
"ZIP(0.7, 10.0)",3,3,2025,10,200
"ZIP(0.7, 10.0)",4,1,200,10,200
"ZIP(0.7, 10.0)",4,2,580,10,200
"ZIP(0.7, 10.0)",4,3,1806,10,200
"ZIP(0.7, 10.0)",4,4,5123,10,200
"ZIP(0.9, 30.0)",2,1,200,10,200
"ZIP(0.9, 30.0)",2,2,579,10,200
"ZIP(0.9, 30.0)",3,1,200,10,200
"ZIP(0.9, 30.0)",3,2,508,10,200
"ZIP(0.9, 30.0)",3,3,1481,10,200
"ZIP(0.9, 30.0)",4,1,200,10,200
"ZIP(0.9, 30.0)",4,2,463,10,200
"ZIP(0.9, 30.0)",4,3,1133,10,200
"ZIP(0.9, 30.0)",4,4,3533,10,200
"ZIP(0.2, 3.75)",2,1,10,10,10
"ZIP(0.2, 3.75)",2,2,37,10,10
"ZIP(0.2, 3.75)",3,1,10,10,10
"ZIP(0.2, 3.75)",3,2,44,10,10
"ZIP(0.2, 3.75)",3,3,133,10,10
"ZIP(0.2, 3.75)",4,1,10,10,10
"ZIP(0.2, 3.75)",4,2,33,10,10
"ZIP(0.2, 3.75)",4,3,111,10,10
"ZIP(0.2, 3.75)",4,4,364,10,10
"ZIP(0.5, 6.0)",2,1,10,10,10
"ZIP(0.5, 6.0)",2,2,27,10,10
"ZIP(0.5, 6.0)",3,1,10,10,10
"ZIP(0.5, 6.0)",3,2,29,10,10
"ZIP(0.5, 6.0)",3,3,67,10,10
"ZIP(0.5, 6.0)",4,1,10,10,10
"ZIP(0.5, 6.0)",4,2,23,10,10
"ZIP(0.5, 6.0)",4,3,32,10,10
"ZIP(0.5, 6.0)",4,4,98,10,10
"ZIP(0.7, 10.0)",2,1,10,10,10
"ZIP(0.7, 10.0)",2,2,20,10,10
"ZIP(0.7, 10.0)",3,1,10,10,10
"ZIP(0.7, 10.0)",3,2,31,10,10
"ZIP(0.7, 10.0)",3,3,114,10,10
"ZIP(0.7, 10.0)",4,1,10,10,10
"ZIP(0.7, 10.0)",4,2,43,10,10
"ZIP(0.7, 10.0)",4,3,173,10,10
"ZIP(0.7, 10.0)",4,4,540,10,10
"ZIP(0.9, 30.0)",2,1,10,10,10
"ZIP(0.9, 30.0)",2,2,46,10,10
"ZIP(0.9, 30.0)",3,1,10,10,10
"ZIP(0.9, 30.0)",3,2,54,10,10
"ZIP(0.9, 30.0)",3,3,222,10,10
"ZIP(0.9, 30.0)",4,1,10,10,10
"ZIP(0.9, 30.0)",4,2,32,10,10
"ZIP(0.9, 30.0)",4,3,56,10,10
"ZIP(0.9, 30.0)",4,4,122,10,10
"ZIP(0.2, 3.75)",2,1,50,10,50
"ZIP(0.2, 3.75)",2,2,147,10,50
"ZIP(0.2, 3.75)",3,1,50,10,50
"ZIP(0.2, 3.75)",3,2,123,10,50
"ZIP(0.2, 3.75)",3,3,351,10,50
"ZIP(0.2, 3.75)",4,1,50,10,50
"ZIP(0.2, 3.75)",4,2,143,10,50
"ZIP(0.2, 3.75)",4,3,393,10,50
"ZIP(0.2, 3.75)",4,4,1243,10,50
"ZIP(0.5, 6.0)",2,1,50,10,50
"ZIP(0.5, 6.0)",2,2,140,10,50
"ZIP(0.5, 6.0)",3,1,50,10,50
"ZIP(0.5, 6.0)",3,2,145,10,50
"ZIP(0.5, 6.0)",3,3,437,10,50
"ZIP(0.5, 6.0)",4,1,50,10,50
"ZIP(0.5, 6.0)",4,2,141,10,50
"ZIP(0.5, 6.0)",4,3,452,10,50
"ZIP(0.5, 6.0)",4,4,1448,10,50
"ZIP(0.7, 10.0)",2,1,50,10,50
"ZIP(0.7, 10.0)",2,2,132,10,50
"ZIP(0.7, 10.0)",3,1,50,10,50
"ZIP(0.7, 10.0)",3,2,147,10,50
"ZIP(0.7, 10.0)",3,3,528,10,50
"ZIP(0.7, 10.0)",4,1,50,10,50
"ZIP(0.7, 10.0)",4,2,116,10,50
"ZIP(0.7, 10.0)",4,3,304,10,50
"ZIP(0.7, 10.0)",4,4,986,10,50
"ZIP(0.9, 30.0)",2,1,50,10,50
"ZIP(0.9, 30.0)",2,2,226,10,50
"ZIP(0.9, 30.0)",3,1,50,10,50
"ZIP(0.9, 30.0)",3,2,172,10,50
"ZIP(0.9, 30.0)",3,3,396,10,50
"ZIP(0.9, 30.0)",4,1,50,10,50
"ZIP(0.9, 30.0)",4,2,27,10,50
"ZIP(0.9, 30.0)",4,3,49,10,50
"ZIP(0.9, 30.0)",4,4,107,10,50
"ZIP(0.2, 3.75)",2,1,100,10,100
"ZIP(0.2, 3.75)",2,2,298,10,100
"ZIP(0.2, 3.75)",3,1,100,10,100
"ZIP(0.2, 3.75)",3,2,269,10,100
"ZIP(0.2, 3.75)",3,3,772,10,100
"ZIP(0.2, 3.75)",4,1,100,10,100
"ZIP(0.2, 3.75)",4,2,297,10,100
"ZIP(0.2, 3.75)",4,3,902,10,100
"ZIP(0.2, 3.75)",4,4,2742,10,100
"ZIP(0.5, 6.0)",2,1,100,10,100
"ZIP(0.5, 6.0)",2,2,302,10,100
"ZIP(0.5, 6.0)",3,1,100,10,100
"ZIP(0.5, 6.0)",3,2,325,10,100
"ZIP(0.5, 6.0)",3,3,963,10,100
"ZIP(0.5, 6.0)",4,1,100,10,100
"ZIP(0.5, 6.0)",4,2,251,10,100
"ZIP(0.5, 6.0)",4,3,722,10,100
"ZIP(0.5, 6.0)",4,4,2254,10,100
"ZIP(0.7, 10.0)",2,1,100,10,100
"ZIP(0.7, 10.0)",2,2,285,10,100
"ZIP(0.7, 10.0)",3,1,100,10,100
"ZIP(0.7, 10.0)",3,2,297,10,100
"ZIP(0.7, 10.0)",3,3,982,10,100
"ZIP(0.7, 10.0)",4,1,100,10,100
"ZIP(0.7, 10.0)",4,2,337,10,100
"ZIP(0.7, 10.0)",4,3,969,10,100
"ZIP(0.7, 10.0)",4,4,3020,10,100
