# BEAST v10.5.0
# Generated Sat Feb 28 11:54:06 GMT 2026 [seed=1772279634185]
# -window -working -options
state	joint	prior	likelihood	rootHeight	treeLength	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
470000	-502.12707188476367	-2.903798786688627	-499.223273098075	0.40901242304172336	1.5070752354654169	0.6562150130500297	0.4927150209734117	1.0	1.0	-499.223273098075	0.0	-1.5517732009263274
480000	-503.28202555577036	-2.3928313761868147	-500.88919417958357	0.2899444904658235	0.9588327606899748	2.371855730869046	0.5586564422206789	1.0	1.0	-500.88919417958357	0.0	-0.20062504524702052
490000	-499.3862656656269	-2.3275202459646556	-497.0587454196623	0.2973399029164231	1.1615954364069865	1.2715063747373256	0.15636377374363858	1.0	1.0	-497.0587454196623	0.0	-0.6346270595813448
500000	-499.56048105581596	-3.1086415616153626	-496.4518394942006	0.3449214302945062	1.3491580780358987	0.17564047977665184	0.8315736469122276	1.0	1.0	-496.4518394942006	0.0	-1.8560311986616016
510000	-501.07907014558606	-2.026937647436845	-499.0521324981492	0.25505099364364053	0.9875512363725878	1.2872010611809201	0.1771071761544449	1.0	1.0	-499.0521324981492	0.0	-0.32588588947622277
520000	-500.3280875073621	-2.900665822934741	-497.4274216844274	0.3245149412891372	1.23754987883799	0.2047925907200226	0.9604816450103827	1.0	1.0	-497.4274216844274	0.0	-1.6762103722477892
530000	-498.35899518580743	-2.8097690643779067	-495.5492261214295	0.3413776459894277	1.214371994147871	1.037332712612151	0.7801396608863406	1.0	1.0	-495.5492261214295	0.0	-1.2424820408439037
540000	-502.42429229618233	-3.0161815262102527	-499.4081107699721	0.4505730379095634	1.455291986659701	0.7316090445768373	0.2667681335540114	1.0	1.0	-499.4081107699721	0.0	-1.6214691347989856
550000	-499.82325146329134	-2.894279733814126	-496.9289717294772	0.3547828271249813	1.2648245093939052	1.8126155105242348	0.5051156895402292	1.0	1.0	-496.9289717294772	0.0	-0.9386139955894476
560000	-497.976830844271	-2.1333780204661554	-495.8434528238048	0.30910702097410603	1.1250302825004148	0.6357571538577198	0.822440196333236	1.0	1.0	-495.8434528238048	0.0	-0.7927950813501505
570000	-499.818167318527	-4.057146501348178	-495.7610208171788	0.3539021679140299	1.3106716929660447	3.5767581860742257	0.2511466442399003	1.0	1.0	-495.7610208171788	0.0	-1.4415467676919818
580000	-499.0774676191506	-3.0387055854584664	-496.03876203369214	0.350856604611148	1.3103779591797349	0.45338456487642914	0.9086788662150177	1.0	1.0	-496.03876203369214	0.0	-1.792486919346266
590000	-502.17338538871036	-2.8515391416471276	-499.3218462470632	0.36813388101287337	1.1560700377231548	0.7621063702672252	0.14927876531782672	1.0	1.0	-499.3218462470632	0.0	-1.4394396619821308
600000	-499.75789134882103	-2.8050868582298403	-496.9528044905912	0.4391038544249731	1.4762213092418683	1.3438348464164602	0.27803177391984235	1.0	1.0	-496.9528044905912	0.0	-1.0748710397886676
610000	-498.74036316962736	-2.6108766166324404	-496.12948655299493	0.3216786065005106	1.2606148932711558	2.037781365916263	0.21142144943931646	1.0	1.0	-496.12948655299493	0.0	-0.5561616120044788
620000	-505.60010426669845	-2.8837317521452426	-502.7163725145532	0.420902483836831	1.28193873548986	2.535656133474997	0.1811958694828419	1.0	1.0	-502.7163725145532	0.0	-0.6278008188333271
630000	-500.27802295813143	-2.9039924092622917	-497.37403054886914	0.4369517448186985	1.5472386308369894	0.7171784067740091	0.5018005934326548	1.0	1.0	-497.37403054886914	0.0	-1.5174924300527732
640000	-500.75530010071066	-3.815527785746774	-496.9397723149639	0.35688364434717795	1.4044887447454166	2.727240682729976	0.3355173274035776	1.0	1.0	-496.9397723149639	0.0	-1.487831379424145
650000	-501.7840561242692	-2.225379592613728	-499.5586765316555	0.29205211182065177	1.0441169007528641	2.223081517577273	0.34893962752163604	1.0	1.0	-499.5586765316555	0.0	-0.0930942022917376
660000	-500.86546376915567	-3.3797738452881867	-497.4856899238675	0.43626048754969887	1.4451595287887318	2.875956454956059	0.008078773103866947	1.0	1.0	-497.4856899238675	0.0	-0.9982783935263737
670000	-498.36632612682496	-2.5260977683576185	-495.84022835846736	0.3125117591942244	1.204633071833022	1.7864184006862998	0.39731556813840385	1.0	1.0	-495.84022835846736	0.0	-0.5823211031610456
680000	-500.6497958316196	-2.427149798002434	-498.22264603361714	0.38920657334626574	1.2913140046239748	0.9927243752013957	0.44886110965321724	1.0	1.0	-498.22264603361714	0.0	-0.8845688746146156
690000	-498.4918842450619	-2.7444097477895903	-495.7474744972723	0.31965544992637884	1.1466562846993702	1.015368897446872	0.8107014583591258	1.0	1.0	-495.7474744972723	0.0	-1.1892588611820192
700000	-500.4716179112728	-3.1241312332815356	-497.34748667799124	0.36208403751466073	1.275512454414143	2.837346315316526	0.19127055814415456	1.0	1.0	-497.34748667799124	0.0	-0.7564499793050614
710000	-498.6870192456276	-2.33711272288565	-496.34990652274195	0.3054840308646574	1.1429374278610802	0.4731173337354963	0.8925727294451418	1.0	1.0	-496.34990652274195	0.0	-1.0818000451712981
720000	-499.2949403609905	-2.804096400520609	-496.4908439604699	0.3319992919899437	1.3095600219984858	1.8299771694319336	0.3710142885675149	1.0	1.0	-496.4908439604699	0.0	-0.8405946621100615
730000	-500.0739242771564	-2.7594156625291775	-497.3145086146272	0.39940993212487447	1.467640784647529	0.7894079959409253	0.5905644685233574	1.0	1.0	-497.3145086146272	0.0	-1.3317366803697193
740000	-499.15611979470344	-2.8633758470592223	-496.2927439476442	0.30287190464129876	1.1700529000652957	2.826444682144159	0.23592582474384532	1.0	1.0	-496.2927439476442	0.0	-0.49961423968884344
750000	-499.05390699313824	-2.2818994986876033	-496.77200749445063	0.28069503411034125	1.0834393209481248	2.527089817233576	0.12027353548345544	1.0	1.0	-496.77200749445063	0.0	-0.02924548156333695
760000	-501.965088405757	-5.220335819009277	-496.7447525867477	0.3783312485588708	1.4257516059609712	3.2520511434051977	0.5096950546780615	1.0	1.0	-496.7447525867477	0.0	-2.709503272600951
770000	-502.43297952270916	-3.075218424177518	-499.3577610985316	0.49078171610060356	1.6654912774249007	1.1726674661890275	0.16741783511486916	1.0	1.0	-499.3577610985316	0.0	-1.4344652166112086
780000	-500.0254160453472	-2.4175128315113827	-497.6079032138358	0.27691830954812025	1.033892958279972	1.012796113660266	0.10291858149322405	1.0	1.0	-497.6079032138358	0.0	-0.8637871885275679
790000	-500.25762677605286	-3.107425329127021	-497.15020144692585	0.378264907347116	1.2572947026278052	0.4503794208059903	0.44972367216059317	1.0	1.0	-497.15020144692585	0.0	-1.8625534549244755
800000	-499.05566700081124	-2.5845824190151885	-496.47108458179605	0.34954067370917324	1.2768857726193505	1.268905148061159	0.5628690578707085	1.0	1.0	-496.47108458179605	0.0	-0.8930446357393681
810000	-498.5596901734005	-2.8689907194905158	-495.69069945391	0.3522880256364938	1.3032469324619607	2.5098832828729774	0.10946095910827806	1.0	1.0	-495.69069945391	0.0	-0.6229369923803315
820000	-498.17573125135164	-2.6235559475295807	-495.5521753038221	0.3662823414449632	1.3241802627455246	1.28481132064848	0.49873610601996815	1.0	1.0	-495.5521753038221	0.0	-0.9237443060945605
830000	-500.7517624533395	-2.779633710306089	-497.9721287430334	0.43048795714018956	1.457543285420111	1.4307237973123328	0.02476837677540566	1.0	1.0	-497.9721287430334	0.0	-1.005509087158261
840000	-501.71530730540536	-3.322175726565451	-498.3931315788399	0.4815587464247591	1.6505169625609923	1.821476751038707	0.17964831896218153	1.0	1.0	-498.3931315788399	0.0	-1.362506274790598
850000	-500.5027265527465	-2.9802229364739823	-497.5225036162725	0.3642659035443828	1.2806566880532049	2.0862843159261732	0.41893503513858094	1.0	1.0	-497.5225036162725	0.0	-0.9048743648238913
860000	-498.82807244464857	-2.755400419693978	-496.0726720249546	0.39413582780245104	1.4141635528358196	1.703430815970164	0.1425382132201065	1.0	1.0	-496.0726720249546	0.0	-0.8498143653377364
870000	-498.9021657261187	-3.060433059839984	-495.84173266627874	0.30777373196128543	1.2285033768075406	2.150268199561547	0.4776210727629281	1.0	1.0	-495.84173266627874	0.0	-0.9582264314456902
880000	-504.64372813499836	-4.598409740283244	-500.04531839471514	0.4591071588929762	1.7399893633045758	2.7843767076546095	0.2074897071290988	1.0	1.0	-500.04531839471514	0.0	-2.24985379738626
890000	-502.1313279112017	-3.8002873085818707	-498.33104060261985	0.4726770856409468	1.5939626357976922	2.680595508776261	0.10628045498096993	1.0	1.0	-498.33104060261985	0.0	-1.4898013792783749
900000	-499.25451385062956	-2.2961755968002495	-496.9583382538293	0.33643239633553057	1.1964851596780335	0.8086942072821912	0.7463801049357471	1.0	1.0	-496.9583382538293	0.0	-0.8574942106069965
910000	-498.99016990048693	-2.9132530856331096	-496.0769168148538	0.2948778828781391	1.1072315383605522	3.5136269619912683	0.12833480859909854	1.0	1.0	-496.0769168148538	0.0	-0.31756314670816654
920000	-500.66828775087225	-2.9802414748886203	-497.68804627598365	0.37637713139385925	1.426753104067444	1.6422898779191868	0.38660381709153746	1.0	1.0	-497.68804627598365	0.0	-1.1033188005650187
930000	-500.5600482456185	-2.709561900894246	-497.85048634472423	0.4108427759862508	1.4522280377963281	0.6373164008401708	0.6947263851126868	1.0	1.0	-497.85048634472423	0.0	-1.3681098658515811
940000	-498.43803318466877	-2.533213480941403	-495.90481970372736	0.34770325275508873	1.2395133603128032	2.15404287631205	0.12334476378129906	1.0	1.0	-495.90481970372736	0.0	-0.4294349870952362
950000	-499.19156433127176	-2.8723388976348354	-496.3192254336369	0.38582454174586156	1.3574516889353876	2.1437953431137053	0.18747840853805367	1.0	1.0	-496.3192254336369	0.0	-0.7728309601695486
960000	-503.64135191266536	-3.1836708590992036	-500.45768105356615	0.50502944220789	1.633390237792689	0.23301662760877984	0.8103122078157046	1.0	1.0	-500.45768105356615	0.0	-1.9747778070892972
970000	-500.02590416616727	-2.150780206681264	-497.875123959486	0.31055019350606833	1.1066480123112603	1.767182471222501	0.12444075527935969	1.0	1.0	-497.875123959486	0.0	-0.21578388327212694
980000	-498.33762600199776	-2.3612153876335817	-495.97641061436417	0.35019005928160746	1.2158778265503667	1.6419107383206202	0.10716736247200602	1.0	1.0	-495.97641061436417	0.0	-0.4844718791621516
