# BEAST v10.5.0
# Generated Thu Feb 12 23:51:34 GMT 2026 [seed=1770940276861]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
54000	-458.0650857654878	-31.438397615487013	-426.6266881500008	1036.573398172366	-1036.573398172366	2358.2329629759347	267.41582203147254	0.0010997626581936684	0.0010997626581936686	-426.6266881500008	0.0	-22.79698201031389
55000	-453.47311540025447	-31.257400619880514	-422.21571478037396	717.7638284856483	-717.7638284856483	1606.681803571214	395.9929942863697	0.002196859604377798	0.0021968596043777976	-422.21571478037396	0.0	-20.621212932599015
56000	-456.5892595102132	-28.857854491405334	-427.73140501880783	363.34740489953896	-363.34740489953896	852.0666701691551	320.8150778885729	0.0027763994158072946	0.0027763994158072946	-427.73140501880783	0.0	-19.236948983788164
57000	-452.35297832346066	-28.32127622086429	-424.03170210259634	308.8367962341606	-308.8367962341606	764.5086668904546	182.86680475544915	0.003497504581418562	0.003497504581418562	-424.03170210259634	0.0	-18.92200543239268
58000	-453.57161956368805	-30.062109186613185	-423.5095103770749	361.7394466122954	-361.7394466122954	827.0338720219557	250.56820841443886	0.004823718042021635	0.004823718042021635	-423.5095103770749	0.0	-18.843531704516472
59000	-452.0195606220829	-28.889065870637033	-423.1304947514459	317.7229239799705	-317.7229239799705	735.5157130778352	207.26633607350826	0.004566874057720559	0.004566874057720559	-423.1304947514459	0.0	-18.502418825260616
60000	-456.41282312067494	-32.19190379671633	-424.2209193239586	1106.281634936513	-1106.281634936513	2540.7147393360165	568.8971869108733	0.0011654920859592904	0.0011654920859592906	-424.2209193239586	0.0	-22.13542237945836
61000	-455.71738728369434	-31.83545691593571	-423.8819303677586	491.7182348986722	-491.7182348986722	1095.5761620590556	521.8855509719746	0.0034369119256123827	0.0034369119256123823	-423.8819303677586	0.0	-20.14663893312795
62000	-455.0871238858197	-31.552035422908602	-423.5350884629111	926.4728687702113	-926.4728687702113	2122.20341808181	352.201240461575	0.001498112459719725	0.0014981124597197252	-423.5350884629111	0.0	-21.757624450592008
63000	-461.05708571455557	-33.81187311287894	-427.24521260167666	1398.0938424073368	-1398.0938424073368	3752.1661234119865	761.0900243930421	6.549587450749931E-4	6.549587450749931E-4	-427.24521260167666	0.0	-24.25921403973519
64000	-458.53687554539886	-36.278554469366185	-422.2583210760327	1893.1907616998728	-1893.1907616998728	4246.671154797672	1479.619556924262	9.16913941995254E-4	9.169139419952543E-4	-422.2583210760327	0.0	-23.800604420059486
65000	-459.591441233321	-34.123740596093924	-425.4677006372271	2185.237621640483	-2185.237621640483	5228.111407794343	952.9831854565007	4.394330862731195E-4	4.394330862731195E-4	-425.4677006372271	0.0	-24.680078276557595
66000	-461.9349806430665	-36.382320430087844	-425.5526602129787	2558.883378195319	-2558.883378195319	6747.8003711779065	1231.988044810552	4.128009177348162E-4	4.1280091773481615E-4	-425.5526602129787	0.0	-26.073873050301753
67000	-459.7651250417054	-35.24629070953712	-424.5188343321683	2348.9853296914202	-2348.9853296914202	5810.617943523485	987.8572799754787	4.6944700897656115E-4	4.6944700897656125E-4	-424.5188343321683	0.0	-25.321260604206515
68000	-459.11993283235324	-32.69736661054051	-426.42256622181276	1292.0984684007303	-1292.0984684007303	2878.6278741976935	931.7403013619058	8.469923834809548E-4	8.469923834809546E-4	-426.42256622181276	0.0	-22.530225707545934
69000	-459.55296341540634	-35.91286053779256	-423.6401028776138	2624.4670193516918	-2624.4670193516918	6453.47399063344	842.2279572419008	4.5067568786181063E-4	4.506756878618106E-4	-423.6401028776138	0.0	-26.185010727599906
70000	-458.94291945395196	-33.89661130975881	-425.0463081441932	1761.1904513806476	-1761.1904513806476	4301.796179406846	821.0836249883589	6.027391342182922E-4	6.027391342182922E-4	-425.0463081441932	0.0	-24.182707859014904
71000	-466.4778989997562	-43.29250327253369	-423.1853957272225	15206.818044173138	-15206.818044173138	34294.037116018415	3377.6537802063476	8.81490704812442E-5	8.81490704812442E-5	-423.1853957272225	0.0	-31.178202734438006
72000	-468.9081502775302	-45.79454664811963	-423.11360362941053	16482.38607059543	-16482.38607059543	37619.15609904814	3791.68302933911	1.2063638744641243E-4	1.2063638744641244E-4	-423.11360362941053	0.0	-31.524847374061228
73000	-464.70808068075996	-38.63411517673387	-426.0739655040261	3966.1629180783293	-3966.1629180783293	10314.073687051803	1968.5477976007198	2.991056954507632E-4	2.991056954507632E-4	-426.0739655040261	0.0	-27.19464035730546
74000	-463.48398216602453	-40.10360377480895	-423.3803783912156	6616.7926410325845	-6616.7926410325845	15418.19879903533	1905.709702821142	2.416675478611098E-4	2.4166754786110987E-4	-423.3803783912156	0.0	-28.425932724581692
75000	-460.75815485344106	-36.24547150678049	-424.51268334666054	1986.9470989145732	-1986.9470989145732	4922.202686744499	1747.6408392047595	5.891526173965996E-4	5.891526173965996E-4	-424.51268334666054	0.0	-24.622062796793678
76000	-460.32538298398254	-35.183442403425744	-425.1419405805568	3068.4539834335405	-3068.4539834335405	6757.9903330095185	770.4216479811403	4.4572679278845616E-4	4.4572679278845616E-4	-425.1419405805568	0.0	-25.541203394610807
77000	-460.62961346137405	-36.096792476444215	-424.53282098492986	1815.6190619802219	-1815.6190619802219	4140.511456014698	860.8030044668961	0.0011973083706889598	0.00119730837068896	-424.53282098492986	0.0	-23.56908798178472
78000	-456.8007705586576	-32.54868141948275	-424.2520891391748	1556.577300381487	-1556.577300381487	3539.559689472636	574.4313084812992	7.292764725574273E-4	7.292764725574274E-4	-424.2520891391748	0.0	-23.257061413409314
